busname,street,city,state,zip
TACO BELL,3125 E BROADWAY,LONG BEACH,CA,90803
TACO BELL,2500 E PACIFIC COAST HWY,LONG BEACH,CA,90804
TACO BELL,6730 CHERRY AVE,LONG BEACH,CA,90805
TACO BELL,2545 LONG BEACH BLVD,LONG BEACH,CA,90806
TACO BELL,3398 N NORWALK BLVD,LONG BEACH,CA,90808
TACO BELL,1822 SANTA FE AVE,LONG BEACH,CA,90810
TACO BELL,228 E 7TH ST,LONG BEACH,CA,90813
TACO BELL,6407 E STEARNS ST,LONG BEACH,CA,90815
TACO BELL,2151 FOOTHILL BLVD,LA CANADA FLTRDG,CA,91011
TACO BELL,733 E HUNTINGTON DR,MONROVIA,CA,91016
TACO BELL,140 W HUNTINGTON DR,MONROVIA,CA,91016
TACO BELL,7856 FOOTHILL BLVD,SUNLAND,CA,91040
TACO BELL,1953 E COLORADO BLVD,PASADENA,CA,91107
TACO BELL,333 S ROSEMEAD BLVD,PASADENA,CA,91107
TACO BELL,1850 W GLENOAKS BLVD,GLENDALE,CA,91201
TACO BELL,932 S CENTRAL AVE,GLENDALE,CA,91204
TACO BELL,1113 E COLORADO ST,GLENDALE,CA,91205
TACO BELL,5589 KANAN RD,AGOURA HILLS,CA,91301
TACO BELL,4955 LAS VIRGENES RD,CALABASAS,CA,91302
TACO BELL,6921 TOPANGA CANYON BLVD,CANOGA PARK,CA,91303
TACO BELL,8220 DE SOTO AVE,CANOGA PARK,CA,91304
TACO BELL,6633 FALLBROOK AVE,WEST HILLS,CA,91307
TACO BELL,7545 FALLBROOK AVE,WEST HILLS,CA,91307
TACO BELL,21120 DEVONSHIRE ST,CHATSWORTH,CA,91311
TACO BELL,791 N WENDY DR,NEWBURY PARK,CA,91320
TACO BELL,9825 BALBOA BLVD,NORTHRIDGE,CA,91325
TACO BELL,18100 PARTHENIA ST,NORTHRIDGE,CA,91325
TACO BELL,12786 VAN NUYS BLVD,PACOIMA,CA,91331
TACO BELL,6733 RESEDA BLVD,RESEDA,CA,91335
TACO BELL,14511 CHATSWORTH DR,SAN FERNANDO,CA,91340
TACO BELL,1968 GLENOAKS BLVD,SAN FERNANDO,CA,91340
TACO BELL,12910 FOOTHILL BLVD,SYLMAR,CA,91342
TACO BELL,11101 WOODLEY AVE,GRANADA HILLS,CA,91344
TACO BELL,26231 BOUQUET CANYON RD,SANTA CLARITA,CA,91350
TACO BELL,18941 SOLEDAD CANYON RD,CANYON COUNTRY,CA,91351
TACO BELL,18450 VENTURA BLVD,TARZANA,CA,91356
TACO BELL,1330 N MOORPARK RD,THOUSAND OAKS,CA,91360
TACO BELL,2900 TOWNSGATE RD # 113,WESTLAKE VILLAGE,CA,91361
TACO BELL,1928 E AVENIDA DE LOS ARBOLES,THOUSAND OAKS,CA,91362
TACO BELL,25 S RANCHO RD,THOUSAND OAKS,CA,91362
TACO BELL,23275 MULHOLLAND DR,WOODLAND HILLS,CA,91364
TACO BELL,6303 PLATT AVE,WOODLAND HILLS,CA,91367
TACO BELL,24812 PICO CANYON RD,STEVENSON RANCH,CA,91381
TACO BELL,13641 SHERMAN WAY,VAN NUYS,CA,91405
TACO BELL,8256 ORION AVE,VAN NUYS,CA,91406
TACO BELL,15651 SHERMAN WAY,VAN NUYS,CA,91406
TACO BELL,14115 VENTURA BLVD,SHERMAN OAKS,CA,91423
TACO BELL,1115 N SAN FERNANDO BLVD,BURBANK,CA,91504
TACO BELL,3827 W OLIVE AVE,BURBANK,CA,91505
TACO BELL,4301 W MAGNOLIA BLVD,BURBANK,CA,91505
TACO BELL,2425 W MAGNOLIA BLVD,BURBANK,CA,91506
TACO BELL,11694 MAGNOLIA BLVD,NORTH HOLLYWOOD,CA,91601
TACO BELL,5958 LANKERSHIM BLVD,NORTH HOLLYWOOD,CA,91601
TACO BELL,12900 VANOWEN ST,NORTH HOLLYWOOD,CA,91605
TACO BELL,8250 LAUREL CANYON BLVD,NORTH HOLLYWOOD,CA,91605
TACO BELL,1000 UNIVERSAL STUDIOS BLVD,UNIVERSAL CITY,CA,91608
TACO BELL,6579 MILLIKEN AVE,ALTA LOMA,CA,91701
TACO BELL,1150 W FOOTHILL BLVD,AZUSA,CA,91702
TACO BELL,800 E ALOSTA AVE,AZUSA,CA,91702
TACO BELL,3120 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706
TACO BELL,4200 CHINO HILLS PKWY # 115,CHINO HILLS,CA,91709
TACO BELL,12382 CENTRAL AVE,CHINO,CA,91710
TACO BELL,768 W ARROW HWY,COVINA,CA,91722
TACO BELL,301 N CITRUS AVE,COVINA,CA,91723
TACO BELL,9709 BASELINE RD,RANCHO CUCAMONGA,CA,91730
TACO BELL,9383 FOOTHILL BLVD,RANCHO CUCAMONGA,CA,91730
TACO BELL,3858 PECK RD,EL MONTE,CA,91732
TACO BELL,11007 GARVEY AVE,EL MONTE,CA,91733
TACO BELL,12789 FOOTHILL BLVD,ETIWANDA,CA,91739
TACO BELL,105 W ARROW HWY,GLENDORA,CA,91740
TACO BELL,116 E ROUTE 66,GLENDORA,CA,91740
TACO BELL,1737 N HACIENDA BLVD,LA PUENTE,CA,91744
TACO BELL,2136 S HACIENDA BLVD,HACIENDA HEIGHTS,CA,91745
TACO BELL,17184 COLIMA RD,HACIENDA HEIGHTS,CA,91745
TACO BELL,12486 LIMONITE AVE,MIRA LOMA,CA,91752
TACO BELL,1214 AVENIDA CESAR CHAVEZ,MONTEREY PARK,CA,91754
TACO BELL,2544 S ARCHIBALD AVE,ONTARIO,CA,91761
TACO BELL,2201 S MOUNTAIN AVE,ONTARIO,CA,91762
TACO BELL,8720 CENTRAL AVE,MONTCLAIR,CA,91763
TACO BELL,1885 E 4TH ST,ONTARIO,CA,91764
TACO BELL,218 S DIAMOND BAR BLVD,DIAMOND BAR,CA,91765
TACO BELL,2204 N GAREY AVE,POMONA,CA,91767
TACO BELL,690 INDIAN HILL BLVD,POMONA,CA,91767
TACO BELL,9403 VALLEY BLVD,ROSEMEAD,CA,91770
TACO BELL,705 W ARROW HWY,SAN DIMAS,CA,91773
TACO BELL,1518 S SAN GABRIEL BLVD,SAN GABRIEL,CA,91776
TACO BELL,989 W FOOTHILL BLVD,UPLAND,CA,91786
TACO BELL,864 NOGALES AVE,WALNUT,CA,91789
TACO BELL,1410 S AZUSA AVE,WEST COVINA,CA,91791
TACO BELL,241 E VALLEY BLVD,ALHAMBRA,CA,91801
TACO BELL,2588 W COMMONWEALTH AVE,ALHAMBRA,CA,91803
TACO BELL,696 E ST,CHULA VISTA,CA,91910
TACO BELL,340 E H ST,CHULA VISTA,CA,91910
TACO BELL,1548 E H ST,CHULA VISTA,CA,91913
TACO BELL,7232 BROADWAY,LEMON GROVE,CA,91945
TACO BELL,1737 SWEETWATER RD,NATIONAL CITY,CA,91950
TACO BELL,6017 PASEO DEL NORTE,CARLSBAD,CA,92011
TACO BELL,2506 JAMACHA RD,EL CAJON,CA,92019
TACO BELL,1561 N MAGNOLIA AVE,EL CAJON,CA,92020
TACO BELL,2827 NAVAJO RD,EL CAJON,CA,92020
TACO BELL,13418 CAMINO CANADA,EL CAJON,CA,92021
TACO BELL,335 N 2ND ST,EL CAJON,CA,92021
TACO BELL,1502 ENCINITAS BLVD,ENCINITAS,CA,92024
TACO BELL,627 N ESCONDIDO BLVD,ESCONDIDO,CA,92025
TACO BELL,1944 E VALLEY PKWY,ESCONDIDO,CA,92027
TACO BELL,1131 S MISSION RD,FALLBROOK,CA,92028
TACO BELL,12265 WOODSIDE AVE,LAKESIDE,CA,92040
TACO BELL,1940 OCEANSIDE BLVD,OCEANSIDE,CA,92054
TACO BELL,3845 PLAZA DR,OCEANSIDE,CA,92056
TACO BELL,4100 OCEANSIDE BLVD,OCEANSIDE,CA,92056
TACO BELL,3521 CANNON RD,OCEANSIDE,CA,92056
TACO BELL,695 COLLEGE BLVD,OCEANSIDE,CA,92057
TACO BELL,3895 MISSION AVE,OCEANSIDE,CA,92058
TACO BELL,13112 POWAY RD,POWAY,CA,92064
TACO BELL,120 N RANCHO SANTA FE RD,SAN MARCOS,CA,92069
TACO BELL,704 CENTER DR,SAN MARCOS,CA,92069
TACO BELL,9825 MISSION GORGE RD,SANTEE,CA,92071
TACO BELL,3271 BUSINESS PARK DR,VISTA,CA,92081
TACO BELL,910 E VISTA WAY,VISTA,CA,92084
TACO BELL,415 HORTON PLZ,SAN DIEGO,CA,92101
TACO BELL,2626 EL CAJON BLVD,SAN DIEGO,CA,92104
TACO BELL,2011 CAMINO DEL ESTE,SAN DIEGO,CA,92108
TACO BELL,4401 MISSION BLVD,SAN DIEGO,CA,92109
TACO BELL,4380 KEARNY MESA RD # A,SAN DIEGO,CA,92111
TACO BELL,6104 UNIVERSITY AVE,SAN DIEGO,CA,92115
TACO BELL,4290 CLAIREMONT MESA BLVD,SAN DIEGO,CA,92117
TACO BELL,5230 BALBOA AVE,SAN DIEGO,CA,92117
TACO BELL,100 B AVE,CORONADO,CA,92118
TACO BELL,9821 AERO DR,SAN DIEGO,CA,92123
TACO BELL,5335 OVERLAND AVE,SAN DIEGO,CA,92123
